DOEID,MULTSTV,MICRO,TOASTER,COFFEE,NUMFRIG,CWASHER,WASHLOAD,DRYER,NUMCFAN,TVCOLOR,BIGTV,DVD,PLAYSTA,TVONWD,TVONWE,STEREO,NUMPC,LAPTOPPC,PCTYPE1,PCPRINT,AIRCOND,LGT12,NOUTLGTNT,DOLLAREL
186,0,1,1,1,2,0,0,0,4,3,1,1,1,3,3,1,0,0,0,0,0,0,0,1026
187,0,1,1,1,1,1,1,1,4,4,0,1,0,3,3,1,1,0,1,1,1,0,0,1424
188,0,1,0,1,1,1,4,1,3,3,0,2,1,3,4,1,1,0,1,1,1,1,1,1444
189,0,1,1,0,1,1,3,1,5,2,0,2,1,2,2,1,2,0,1,1,1,0,0,2599
190,0,1,0,0,1,1,2,1,1,5,0,1,0,3,4,1,3,2,2,1,0,0,1,1081
191,0,1,1,0,2,1,2,1,4,2,0,2,0,3,3,0,1,0,1,1,1,1,1,545
192,0,1,1,1,1,0,0,0,1,1,0,1,1,3,2,0,1,0,1,1,1,0,0,1036
193,0,0,0,1,1,1,2,1,5,2,0,1,0,2,2,1,0,0,0,0,1,0,1,715
194,1,1,0,1,2,1,2,1,8,2,0,1,0,3,2,1,1,0,1,1,1,0,0,854
195,0,1,0,0,1,1,3,1,1,2,2,1,1,3,3,0,0,0,0,0,1,0,0,1044
196,0,1,0,1,1,1,2,1,2,3,1,0,0,3,2,1,1,0,1,1,1,0,1,964
197,0,1,0,1,2,1,3,1,2,2,0,1,0,2,3,1,1,0,1,1,1,0,0,1971
198,1,1,1,0,1,1,2,1,4,2,0,1,0,1,1,1,0,0,0,0,1,0,1,1003
199,0,1,0,1,1,1,3,1,1,3,0,1,0,3,3,1,1,0,1,1,1,0,0,1253
200,0,1,1,0,1,1,3,1,3,2,0,1,0,2,3,0,0,0,0,0,1,1,1,1189
201,0,1,0,1,1,1,3,1,0,2,0,1,1,3,3,1,2,1,1,1,1,3,0,871
202,1,1,1,1,2,1,3,1,1,7,1,5,1,3,3,1,1,1,2,0,1,0,0,3491
203,0,0,0,1,1,1,2,1,2,3,0,1,1,2,3,0,1,0,1,1,1,0,0,1100
204,0,1,0,1,1,1,2,1,4,4,0,0,1,3,3,1,0,0,0,0,0,0,2,863
205,0,0,1,1,2,1,3,1,7,10,0,5,1,2,3,1,1,0,1,1,1,0,15,1541
206,0,1,0,0,2,1,3,0,0,3,1,2,0,3,3,1,2,1,1,1,1,0,0,1616
207,0,1,1,0,2,1,3,1,1,4,0,1,1,2,3,1,1,0,1,1,0,0,0,358
208,0,1,0,0,1,1,2,1,0,2,0,1,1,3,3,1,1,1,2,1,1,1,0,572
209,0,1,1,1,1,1,4,1,0,6,0,2,0,3,3,1,1,0,1,1,0,0,0,694
210,0,1,0,1,3,1,2,1,0,3,1,2,0,2,2,1,2,1,2,1,1,0,0,1390
211,0,1,1,1,2,1,4,1,0,5,0,2,1,4,4,0,1,0,1,1,1,2,0,1893
212,0,1,1,1,1,1,2,1,0,3,0,0,1,3,2,0,1,1,2,0,1,0,0,788
213,0,1,0,1,1,1,4,1,4,3,3,1,1,4,4,1,3,0,1,1,1,1,0,1320
214,0,1,0,0,2,1,2,1,0,4,1,2,1,2,3,1,2,0,1,0,1,0,0,955
215,0,1,0,0,1,1,3,1,3,2,0,1,0,2,3,1,0,0,0,0,1,1,0,1358
216,1,1,0,1,1,1,2,1,2,3,0,0,0,4,4,0,0,0,0,0,1,0,0,1559
217,0,1,0,1,1,1,2,1,1,2,0,0,0,3,3,0,1,0,1,1,1,0,1,1950
218,0,1,1,1,1,1,3,1,0,4,1,3,1,1,1,1,1,0,1,1,1,0,0,461
